material_name,date,storage,next_day_storage
Aluminum Foil,2023-11-12,497,366.0
Aluminum Foil,2023-11-13,366,293.0
Aluminum Foil,2023-11-14,293,266.0
Aluminum Foil,2023-11-15,266,255.0
Aluminum Foil,2023-11-16,255,251.0
Aluminum Foil,2023-11-17,251,234.0
Aluminum Foil,2023-11-18,234,216.0
Aluminum Foil,2023-11-19,216,212.0
Aluminum Foil,2023-11-20,212,229.0
Aluminum Foil,2023-11-21,229,226.0
Aluminum Foil,2023-11-22,226,225.0
Aluminum Foil,2023-11-23,225,223.0
Aluminum Foil,2023-11-24,223,222.0
Aluminum Foil,2023-11-25,222,214.0
Aluminum Foil,2023-11-26,214,205.0
Aluminum Foil,2023-11-27,205,221.0
Aluminum Foil,2023-11-28,221,226.0
Aluminum Foil,2023-11-29,226,228.0
Aluminum Foil,2023-11-30,228,
Baking Soda,2023-08-01,97,102.0
Baking Soda,2023-08-02,102,103.0
Baking Soda,2023-08-03,103,100.0
Baking Soda,2023-08-04,100,105.0
Baking Soda,2023-08-05,105,98.0
Baking Soda,2023-08-06,98,96.0
Baking Soda,2023-08-07,96,98.0
Baking Soda,2023-08-08,98,106.0
Baking Soda,2023-08-09,106,104.0
Baking Soda,2023-08-10,104,104.0
Baking Soda,2023-08-11,104,102.0
Baking Soda,2023-08-12,102,96.0
Baking Soda,2023-08-13,96,96.0
Baking Soda,2023-08-14,96,102.0
Baking Soda,2023-08-15,102,113.0
Baking Soda,2023-08-16,113,109.0
Baking Soda,2023-08-17,109,118.0
Baking Soda,2023-08-18,118,121.0
Baking Soda,2023-08-19,121,109.0
Baking Soda,2023-08-20,109,107.0
Baking Soda,2023-08-21,107,114.0
Baking Soda,2023-08-22,114,110.0
Baking Soda,2023-08-23,110,110.0
Baking Soda,2023-08-24,110,116.0
Baking Soda,2023-08-25,116,113.0
Baking Soda,2023-08-26,113,116.0
Baking Soda,2023-08-27,116,112.0
Baking Soda,2023-08-28,112,121.0
Baking Soda,2023-08-29,121,121.0
Baking Soda,2023-08-30,121,127.0
Baking Soda,2023-08-31,127,128.0
Baking Soda,2023-09-01,128,133.0
Baking Soda,2023-09-02,133,123.0
Baking Soda,2023-09-03,123,116.0
Baking Soda,2023-09-04,116,129.0
Baking Soda,2023-09-05,129,131.0
Baking Soda,2023-09-06,131,129.0
Baking Soda,2023-09-07,129,126.0
Baking Soda,2023-09-08,126,125.0
Baking Soda,2023-09-09,125,116.0
Baking Soda,2023-09-10,116,110.0
Baking Soda,2023-09-11,110,120.0
Baking Soda,2023-09-12,120,129.0
Baking Soda,2023-09-13,129,125.0
Baking Soda,2023-09-14,125,128.0
Baking Soda,2023-09-15,128,127.0
Baking Soda,2023-09-16,127,124.0
Baking Soda,2023-09-17,124,122.0
Baking Soda,2023-09-18,122,126.0
Baking Soda,2023-09-19,126,143.0
Baking Soda,2023-09-20,143,145.0
Baking Soda,2023-09-21,145,143.0
Baking Soda,2023-09-22,143,162.0
Baking Soda,2023-09-23,162,155.0
Baking Soda,2023-09-24,155,146.0
Baking Soda,2023-09-25,146,158.0
Baking Soda,2023-09-26,158,166.0
Baking Soda,2023-09-27,166,148.0
Baking Soda,2023-09-28,148,142.0
Baking Soda,2023-09-29,142,118.0
Baking Soda,2023-09-30,118,97.0
Baking Soda,2023-10-01,97,103.0
Baking Soda,2023-10-02,103,112.0
Baking Soda,2023-10-03,112,114.0
Baking Soda,2023-10-04,114,125.0
Baking Soda,2023-10-05,125,134.0
Baking Soda,2023-10-06,134,155.0
Baking Soda,2023-10-07,155,145.0
Baking Soda,2023-10-08,145,147.0
Baking Soda,2023-10-09,147,145.0
Baking Soda,2023-10-10,145,149.0
Baking Soda,2023-10-11,149,140.0
Baking Soda,2023-10-12,140,151.0
Baking Soda,2023-10-13,151,157.0
Baking Soda,2023-10-14,157,148.0
Baking Soda,2023-10-15,148,155.0
Baking Soda,2023-10-16,155,160.0
Baking Soda,2023-10-17,160,172.0
Baking Soda,2023-10-18,172,171.0
Baking Soda,2023-10-19,171,172.0
Baking Soda,2023-10-20,172,169.0
Baking Soda,2023-10-21,169,166.0
Baking Soda,2023-10-22,166,171.0
Baking Soda,2023-10-23,171,191.0
Baking Soda,2023-10-24,191,213.0
Baking Soda,2023-10-25,213,197.0
Baking Soda,2023-10-26,197,190.0
Baking Soda,2023-10-27,190,198.0
Baking Soda,2023-10-28,198,179.0
Baking Soda,2023-10-29,179,179.0
Baking Soda,2023-10-30,179,198.0
Baking Soda,2023-10-31,198,280.0
Baking Soda,2023-11-01,280,280.0
Baking Soda,2023-11-02,280,264.0
Baking Soda,2023-11-03,264,227.0
Baking Soda,2023-11-04,227,187.0
Baking Soda,2023-11-05,187,184.0
Baking Soda,2023-11-06,184,205.0
Baking Soda,2023-11-07,205,194.0
Baking Soda,2023-11-08,194,197.0
Baking Soda,2023-11-09,197,213.0
Baking Soda,2023-11-10,213,310.0
Baking Soda,2023-11-11,310,325.0
Baking Soda,2023-11-12,325,288.0
Baking Soda,2023-11-13,288,274.0
Baking Soda,2023-11-14,274,221.0
Baking Soda,2023-11-15,221,220.0
Baking Soda,2023-11-16,220,228.0
Baking Soda,2023-11-17,228,211.0
Baking Soda,2023-11-18,211,197.0
Baking Soda,2023-11-19,197,210.0
Baking Soda,2023-11-20,210,215.0
Baking Soda,2023-11-21,215,214.0
Baking Soda,2023-11-22,214,215.0
Baking Soda,2023-11-23,215,205.0
Baking Soda,2023-11-24,205,194.0
Baking Soda,2023-11-25,194,195.0
Baking Soda,2023-11-26,195,189.0
Baking Soda,2023-11-27,189,190.0
Baking Soda,2023-11-28,190,202.0
Baking Soda,2023-11-29,202,197.0
Baking Soda,2023-11-30,197,
Bath Towels,2023-08-01,17,18.0
Bath Towels,2023-08-02,18,18.0
Bath Towels,2023-08-03,18,17.0
Bath Towels,2023-08-04,17,16.0
Bath Towels,2023-08-05,16,16.0
Bath Towels,2023-08-06,16,17.0
Bath Towels,2023-08-07,17,18.0
Bath Towels,2023-08-08,18,21.0
Bath Towels,2023-08-09,21,18.0
Bath Towels,2023-08-10,18,18.0
Bath Towels,2023-08-11,18,16.0
Bath Towels,2023-08-12,16,15.0
Bath Towels,2023-08-13,15,18.0
Bath Towels,2023-08-14,18,16.0
Bath Towels,2023-08-15,16,23.0
Bath Towels,2023-08-16,23,19.0
Bath Towels,2023-08-17,19,19.0
Bath Towels,2023-08-18,19,19.0
Bath Towels,2023-08-19,19,19.0
Bath Towels,2023-08-20,19,20.0
Bath Towels,2023-08-21,20,19.0
Bath Towels,2023-08-22,19,19.0
Bath Towels,2023-08-23,19,20.0
Bath Towels,2023-08-24,20,22.0
Bath Towels,2023-08-25,22,22.0
Bath Towels,2023-08-26,22,20.0
Bath Towels,2023-08-27,20,21.0
Bath Towels,2023-08-28,21,19.0
Bath Towels,2023-08-29,19,19.0
Bath Towels,2023-08-30,19,20.0
Bath Towels,2023-08-31,20,21.0
Bath Towels,2023-09-01,21,19.0
Bath Towels,2023-09-02,19,18.0
Bath Towels,2023-09-03,18,19.0
Bath Towels,2023-09-04,19,23.0
Bath Towels,2023-09-05,23,22.0
Bath Towels,2023-09-06,22,19.0
Bath Towels,2023-09-07,19,20.0
Bath Towels,2023-09-08,20,18.0
Bath Towels,2023-09-09,18,18.0
Bath Towels,2023-09-10,18,19.0
Bath Towels,2023-09-11,19,20.0
Bath Towels,2023-09-12,20,19.0
Bath Towels,2023-09-13,19,20.0
Bath Towels,2023-09-14,20,19.0
Bath Towels,2023-09-15,19,18.0
Bath Towels,2023-09-16,18,19.0
Bath Towels,2023-09-17,19,20.0
Bath Towels,2023-09-18,20,2.0
Bath Towels,2023-09-19,2,31.0
Bath Towels,2023-09-20,31,24.0
Bath Towels,2023-09-21,24,19.0
Bath Towels,2023-09-22,19,18.0
Bath Towels,2023-09-23,18,18.0
Bath Towels,2023-09-24,18,19.0
Bath Towels,2023-09-25,19,19.0
Bath Towels,2023-09-26,19,17.0
Bath Towels,2023-09-27,17,16.0
Bath Towels,2023-09-28,16,15.0
Bath Towels,2023-09-29,15,16.0
Bath Towels,2023-09-30,16,16.0
Bath Towels,2023-10-01,16,15.0
Bath Towels,2023-10-02,15,16.0
Bath Towels,2023-10-03,16,17.0
Bath Towels,2023-10-04,17,18.0
Bath Towels,2023-10-05,18,19.0
Bath Towels,2023-10-06,19,22.0
Bath Towels,2023-10-07,22,22.0
Bath Towels,2023-10-08,22,21.0
Bath Towels,2023-10-09,21,20.0
Bath Towels,2023-10-10,20,20.0
Bath Towels,2023-10-11,20,19.0
Bath Towels,2023-10-12,19,20.0
Bath Towels,2023-10-13,20,19.0
Bath Towels,2023-10-14,19,17.0
Bath Towels,2023-10-15,17,24.0
Bath Towels,2023-10-16,24,21.0
Bath Towels,2023-10-17,21,20.0
Bath Towels,2023-10-18,20,19.0
Bath Towels,2023-10-19,19,20.0
Bath Towels,2023-10-20,20,18.0
Bath Towels,2023-10-21,18,16.0
Bath Towels,2023-10-22,16,18.0
Bath Towels,2023-10-23,18,62.0
Bath Towels,2023-10-24,62,38.0
Bath Towels,2023-10-25,38,34.0
Bath Towels,2023-10-26,34,30.0
Bath Towels,2023-10-27,30,31.0
Bath Towels,2023-10-28,31,31.0
Bath Towels,2023-10-29,31,29.0
Bath Towels,2023-10-30,29,40.0
Bath Towels,2023-10-31,40,81.0
Bath Towels,2023-11-01,81,82.0
Bath Towels,2023-11-02,82,44.0
Bath Towels,2023-11-03,44,35.0
Bath Towels,2023-11-04,35,33.0
Bath Towels,2023-11-05,33,31.0
Bath Towels,2023-11-06,31,34.0
Bath Towels,2023-11-07,34,33.0
Bath Towels,2023-11-08,33,32.0
Bath Towels,2023-11-09,32,43.0
Bath Towels,2023-11-10,43,103.0
Bath Towels,2023-11-11,103,78.0
Bath Towels,2023-11-12,78,23.0
Bath Towels,2023-11-13,23,20.0
Bath Towels,2023-11-14,20,19.0
Bath Towels,2023-11-15,19,19.0
Bath Towels,2023-11-16,19,18.0
Bath Towels,2023-11-17,18,22.0
Bath Towels,2023-11-18,22,19.0
Bath Towels,2023-11-19,19,20.0
Bath Towels,2023-11-20,20,21.0
Bath Towels,2023-11-21,21,21.0
Bath Towels,2023-11-22,21,21.0
Bath Towels,2023-11-23,21,21.0
Bath Towels,2023-11-24,21,20.0
Bath Towels,2023-11-25,20,20.0
Bath Towels,2023-11-26,20,21.0
Bath Towels,2023-11-27,21,21.0
Bath Towels,2023-11-28,21,21.0
Bath Towels,2023-11-29,21,20.0
Bath Towels,2023-11-30,20,
Batteries,2023-08-01,15,11.0
Batteries,2023-08-02,11,10.0
Batteries,2023-08-03,10,8.0
Batteries,2023-08-04,8,7.0
Batteries,2023-08-05,7,6.0
Batteries,2023-08-06,6,8.0
Batteries,2023-08-07,8,7.0
Batteries,2023-08-08,7,8.0
Batteries,2023-08-09,8,8.0
Batteries,2023-08-10,8,7.0
Batteries,2023-08-11,7,7.0
Batteries,2023-08-12,7,7.0
Batteries,2023-08-13,7,7.0
Batteries,2023-08-14,7,7.0
Batteries,2023-08-15,7,8.0
Batteries,2023-08-16,8,7.0
Batteries,2023-08-17,7,7.0
Batteries,2023-08-18,7,6.0
Batteries,2023-08-19,6,6.0
Batteries,2023-08-20,6,6.0
Batteries,2023-08-21,6,7.0
Batteries,2023-08-22,7,7.0
Batteries,2023-08-23,7,7.0
Batteries,2023-08-24,7,7.0
Batteries,2023-08-25,7,7.0
Batteries,2023-08-26,7,8.0
Batteries,2023-08-27,8,9.0
Batteries,2023-08-28,9,9.0
Batteries,2023-08-29,9,9.0
Batteries,2023-08-30,9,8.0
Batteries,2023-08-31,8,7.0
Batteries,2023-09-01,7,6.0
Batteries,2023-09-02,6,7.0
Batteries,2023-09-03,7,7.0
Batteries,2023-09-04,7,5.0
Batteries,2023-09-05,5,6.0
Batteries,2023-09-06,6,5.0
Batteries,2023-09-07,5,5.0
Batteries,2023-09-08,5,5.0
Batteries,2023-09-09,5,6.0
Batteries,2023-09-10,6,7.0
Batteries,2023-09-11,7,6.0
Batteries,2023-09-12,6,6.0
Batteries,2023-09-13,6,7.0
Batteries,2023-09-14,7,7.0
Batteries,2023-09-15,7,8.0
Batteries,2023-09-16,8,8.0
Batteries,2023-09-17,8,9.0
Batteries,2023-09-18,9,8.0
Batteries,2023-09-19,8,8.0
Batteries,2023-09-20,8,8.0
Batteries,2023-09-21,8,9.0
Batteries,2023-09-22,9,8.0
Batteries,2023-09-23,8,8.0
Batteries,2023-09-24,8,9.0
Batteries,2023-09-25,9,8.0
Batteries,2023-09-26,8,6.0
Batteries,2023-09-27,6,8.0
Batteries,2023-09-28,8,8.0
Batteries,2023-09-29,8,8.0
Batteries,2023-09-30,8,8.0
Batteries,2023-10-01,8,6.0
Batteries,2023-10-02,6,6.0
Batteries,2023-10-03,6,6.0
Batteries,2023-10-04,6,5.0
Batteries,2023-10-05,5,5.0
Batteries,2023-10-06,5,5.0
Batteries,2023-10-07,5,5.0
Batteries,2023-10-08,5,5.0
Batteries,2023-10-09,5,5.0
Batteries,2023-10-10,5,5.0
Batteries,2023-10-11,5,6.0
Batteries,2023-10-12,6,6.0
Batteries,2023-10-13,6,6.0
Batteries,2023-10-14,6,6.0
Batteries,2023-10-15,6,7.0
Batteries,2023-10-16,7,6.0
Batteries,2023-10-17,6,7.0
Batteries,2023-10-18,7,6.0
Batteries,2023-10-19,6,6.0
Batteries,2023-10-20,6,6.0
Batteries,2023-10-21,6,6.0
Batteries,2023-10-22,6,6.0
Batteries,2023-10-23,6,7.0
Batteries,2023-10-24,7,7.0
Batteries,2023-10-25,7,7.0
Batteries,2023-10-26,7,7.0
Batteries,2023-10-27,7,6.0
Batteries,2023-10-28,6,6.0
Batteries,2023-10-29,6,8.0
Batteries,2023-10-30,8,8.0
Batteries,2023-10-31,8,7.0
Batteries,2023-11-01,7,8.0
Batteries,2023-11-02,8,7.0
Batteries,2023-11-03,7,5.0
Batteries,2023-11-04,5,5.0
Batteries,2023-11-05,5,6.0
Batteries,2023-11-06,6,6.0
Batteries,2023-11-07,6,5.0
Batteries,2023-11-08,5,6.0
Batteries,2023-11-09,6,6.0
Batteries,2023-11-10,6,7.0
Batteries,2023-11-11,7,7.0
Batteries,2023-11-12,7,6.0
Batteries,2023-11-13,6,6.0
Batteries,2023-11-14,6,7.0
Batteries,2023-11-15,7,8.0
Batteries,2023-11-16,8,8.0
Batteries,2023-11-17,8,6.0
Batteries,2023-11-18,6,6.0
Batteries,2023-11-19,6,6.0
Batteries,2023-11-20,6,6.0
Batteries,2023-11-21,6,7.0
Batteries,2023-11-22,7,7.0
Batteries,2023-11-23,7,7.0
Batteries,2023-11-24,7,6.0
Batteries,2023-11-25,6,6.0
Batteries,2023-11-26,6,7.0
Batteries,2023-11-27,7,7.0
Batteries,2023-11-28,7,8.0
Batteries,2023-11-29,8,8.0
Batteries,2023-11-30,8,
Bleach,2023-08-01,15,16.0
Bleach,2023-08-02,16,16.0
Bleach,2023-08-03,16,21.0
Bleach,2023-08-04,21,16.0
Bleach,2023-08-05,16,15.0
Bleach,2023-08-06,15,16.0
Bleach,2023-08-07,16,16.0
Bleach,2023-08-08,16,17.0
Bleach,2023-08-09,17,19.0
Bleach,2023-08-10,19,20.0
Bleach,2023-08-11,20,18.0
Bleach,2023-08-12,18,17.0
Bleach,2023-08-13,17,16.0
Bleach,2023-08-14,16,19.0
Bleach,2023-08-15,19,19.0
Bleach,2023-08-16,19,22.0
Bleach,2023-08-17,22,21.0
Bleach,2023-08-18,21,22.0
Bleach,2023-08-19,22,18.0
Bleach,2023-08-20,18,19.0
Bleach,2023-08-21,19,21.0
Bleach,2023-08-22,21,22.0
Bleach,2023-08-23,22,22.0
Bleach,2023-08-24,22,22.0
Bleach,2023-08-25,22,21.0
Bleach,2023-08-26,21,22.0
Bleach,2023-08-27,22,18.0
Bleach,2023-08-28,18,22.0
Bleach,2023-08-29,22,21.0
Bleach,2023-08-30,21,21.0
Bleach,2023-08-31,21,22.0
Bleach,2023-09-01,22,18.0
Bleach,2023-09-02,18,20.0
Bleach,2023-09-03,20,17.0
Bleach,2023-09-04,17,16.0
Bleach,2023-09-05,16,18.0
Bleach,2023-09-06,18,18.0
Bleach,2023-09-07,18,22.0
Bleach,2023-09-08,22,22.0
Bleach,2023-09-09,22,18.0
Bleach,2023-09-10,18,17.0
Bleach,2023-09-11,17,21.0
Bleach,2023-09-12,21,21.0
Bleach,2023-09-13,21,19.0
Bleach,2023-09-14,19,19.0
Bleach,2023-09-15,19,21.0
Bleach,2023-09-16,21,19.0
Bleach,2023-09-17,19,17.0
Bleach,2023-09-18,17,15.0
Bleach,2023-09-19,15,22.0
Bleach,2023-09-20,22,22.0
Bleach,2023-09-21,22,21.0
Bleach,2023-09-22,21,17.0
Bleach,2023-09-23,17,16.0
Bleach,2023-09-24,16,19.0
Bleach,2023-09-25,19,25.0
Bleach,2023-09-26,25,25.0
Bleach,2023-09-27,25,22.0
Bleach,2023-09-28,22,19.0
Bleach,2023-09-29,19,16.0
Bleach,2023-09-30,16,12.0
Bleach,2023-10-01,12,11.0
Bleach,2023-10-02,11,13.0
Bleach,2023-10-03,13,11.0
Bleach,2023-10-04,11,14.0
Bleach,2023-10-05,14,16.0
Bleach,2023-10-06,16,15.0
Bleach,2023-10-07,15,21.0
Bleach,2023-10-08,21,19.0
Bleach,2023-10-09,19,22.0
Bleach,2023-10-10,22,21.0
Bleach,2023-10-11,21,21.0
Bleach,2023-10-12,21,23.0
Bleach,2023-10-13,23,20.0
Bleach,2023-10-14,20,21.0
Bleach,2023-10-15,21,18.0
Bleach,2023-10-16,18,18.0
Bleach,2023-10-17,18,20.0
Bleach,2023-10-18,20,21.0
Bleach,2023-10-19,21,21.0
Bleach,2023-10-20,21,20.0
Bleach,2023-10-21,20,19.0
Bleach,2023-10-22,19,18.0
Bleach,2023-10-23,18,23.0
Bleach,2023-10-24,23,27.0
Bleach,2023-10-25,27,25.0
Bleach,2023-10-26,25,27.0
Bleach,2023-10-27,27,25.0
Bleach,2023-10-28,25,24.0
Bleach,2023-10-29,24,21.0
Bleach,2023-10-30,21,24.0
Bleach,2023-10-31,24,29.0
Bleach,2023-11-01,29,22.0
Bleach,2023-11-02,22,26.0
Bleach,2023-11-03,26,23.0
Bleach,2023-11-04,23,22.0
Bleach,2023-11-05,22,19.0
Bleach,2023-11-06,19,23.0
Bleach,2023-11-07,23,21.0
Bleach,2023-11-08,21,22.0
Bleach,2023-11-09,22,25.0
Bleach,2023-11-10,25,22.0
Bleach,2023-11-11,22,28.0
Bleach,2023-11-12,28,19.0
Bleach,2023-11-13,19,22.0
Bleach,2023-11-14,22,18.0
Bleach,2023-11-15,18,19.0
Bleach,2023-11-16,19,26.0
Bleach,2023-11-17,26,22.0
Bleach,2023-11-18,22,19.0
Bleach,2023-11-19,19,16.0
Bleach,2023-11-20,16,20.0
Bleach,2023-11-21,20,24.0
Bleach,2023-11-22,24,20.0
Bleach,2023-11-23,20,20.0
Bleach,2023-11-24,20,21.0
Bleach,2023-11-25,21,18.0
Bleach,2023-11-26,18,18.0
Bleach,2023-11-27,18,17.0
Bleach,2023-11-28,17,26.0
Bleach,2023-11-29,26,27.0
Bleach,2023-11-30,27,
Canned Beans,2023-08-01,11,9.0
Canned Beans,2023-08-02,9,8.0
Canned Beans,2023-08-03,8,12.0
Canned Beans,2023-08-04,12,10.0
Canned Beans,2023-08-05,10,8.0
Canned Beans,2023-08-06,8,8.0
Canned Beans,2023-08-07,8,8.0
Canned Beans,2023-08-08,8,7.0
Canned Beans,2023-08-09,7,8.0
Canned Beans,2023-08-10,8,10.0
Canned Beans,2023-08-11,10,9.0
Canned Beans,2023-08-12,9,7.0
Canned Beans,2023-08-13,7,7.0
Canned Beans,2023-08-14,7,8.0
Canned Beans,2023-08-15,8,8.0
Canned Beans,2023-08-16,8,8.0
Canned Beans,2023-08-17,8,11.0
Canned Beans,2023-08-18,11,9.0
Canned Beans,2023-08-19,9,8.0
Canned Beans,2023-08-20,8,7.0
Canned Beans,2023-08-21,7,8.0
Canned Beans,2023-08-22,8,8.0
Canned Beans,2023-08-23,8,10.0
Canned Beans,2023-08-24,10,13.0
Canned Beans,2023-08-25,13,11.0
Canned Beans,2023-08-26,11,8.0
Canned Beans,2023-08-27,8,8.0
Canned Beans,2023-08-28,8,9.0
Canned Beans,2023-08-29,9,9.0
Canned Beans,2023-08-30,9,9.0
Canned Beans,2023-08-31,9,17.0
Canned Beans,2023-09-01,17,15.0
Canned Beans,2023-09-02,15,11.0
Canned Beans,2023-09-03,11,11.0
Canned Beans,2023-09-04,11,10.0
Canned Beans,2023-09-05,10,11.0
Canned Beans,2023-09-06,11,16.0
Canned Beans,2023-09-07,16,15.0
Canned Beans,2023-09-08,15,15.0
Canned Beans,2023-09-09,15,11.0
Canned Beans,2023-09-10,11,11.0
Canned Beans,2023-09-11,11,12.0
Canned Beans,2023-09-12,12,11.0
Canned Beans,2023-09-13,11,12.0
Canned Beans,2023-09-14,12,15.0
Canned Beans,2023-09-15,15,15.0
Canned Beans,2023-09-16,15,12.0
Canned Beans,2023-09-17,12,12.0
Canned Beans,2023-09-18,12,14.0
Canned Beans,2023-09-19,14,17.0
Canned Beans,2023-09-20,17,16.0
Canned Beans,2023-09-21,16,17.0
Canned Beans,2023-09-22,17,20.0
Canned Beans,2023-09-23,20,19.0
Canned Beans,2023-09-24,19,18.0
Canned Beans,2023-09-25,18,18.0
Canned Beans,2023-09-26,18,19.0
Canned Beans,2023-09-27,19,18.0
Canned Beans,2023-09-28,18,12.0
Canned Beans,2023-09-29,12,9.0
Canned Beans,2023-09-30,9,9.0
Canned Beans,2023-10-01,9,7.0
Canned Beans,2023-10-02,7,7.0
Canned Beans,2023-10-03,7,6.0
Canned Beans,2023-10-04,6,8.0
Canned Beans,2023-10-05,8,9.0
Canned Beans,2023-10-06,9,10.0
Canned Beans,2023-10-07,10,10.0
Canned Beans,2023-10-08,10,8.0
Canned Beans,2023-10-09,8,9.0
Canned Beans,2023-10-10,9,10.0
Canned Beans,2023-10-11,10,10.0
Canned Beans,2023-10-12,10,12.0
Canned Beans,2023-10-13,12,11.0
Canned Beans,2023-10-14,11,10.0
Canned Beans,2023-10-15,10,9.0
Canned Beans,2023-10-16,9,12.0
Canned Beans,2023-10-17,12,9.0
Canned Beans,2023-10-18,9,11.0
Canned Beans,2023-10-19,11,19.0
Canned Beans,2023-10-20,19,11.0
Canned Beans,2023-10-21,11,9.0
Canned Beans,2023-10-22,9,15.0
Canned Beans,2023-10-23,15,25.0
Canned Beans,2023-10-24,25,16.0
Canned Beans,2023-10-25,16,13.0
Canned Beans,2023-10-26,13,21.0
Canned Beans,2023-10-27,21,16.0
Canned Beans,2023-10-28,16,13.0
Canned Beans,2023-10-29,13,12.0
Canned Beans,2023-10-30,12,19.0
Canned Beans,2023-10-31,19,37.0
Canned Beans,2023-11-01,37,27.0
Canned Beans,2023-11-02,27,19.0
Canned Beans,2023-11-03,19,20.0
Canned Beans,2023-11-04,20,16.0
Canned Beans,2023-11-05,16,12.0
Canned Beans,2023-11-06,12,18.0
Canned Beans,2023-11-07,18,16.0
Canned Beans,2023-11-08,16,13.0
Canned Beans,2023-11-09,13,15.0
